sheet,row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
요약,24,리다이렉트/정적,2,,,,,,,,,,
요약,25,,,,,,,,,,,,
요약,26,④ API 정합성 (측정 · 상세=API 명세 맵핑 탭),,,,,,,,,,,
요약,27,명세 구현률,,최신 백엔드 115경로 / 149 unique method+path,"origin/develop 03f7541 기준. generated-documents export, room memory, confirmed requirements/contract refs 포함",,,,,,,,
요약,28,스펙외 추가구현,,정리필요,설계서 기준 밖 구현은 API 용도·화면·위젯 맵에서 추가구현으로 분류,,,,,,,,
요약,29,백엔드→프론트 연결,,92%,백엔드 149 unique method+path 중 프론트 어댑터/호출 137개,,,,,,,,
요약,30,프론트 명세 커버리지,,92%,명세/추가구현 전체를 최신 백엔드 컨트롤러 기준으로 재집계,,,,,,,,
요약,31,,,,,,,,,,,,
요약,32,⑤ 디자인 완성도 (별개 축·잠정),,,,,,,,,,,
요약,33,비회원,,~85%,데스크탑 완료·모바일 미확인,,,,,,,,
요약,34,회원,,~55%,일정 재정비(모바일 미확인)·자료보드 재작업 중,,,,,,,,
요약,35,위젯,,~20%,전면 재작업,,,,,,,,
요약,36,디자인 종합,,~56%,비회원20·회원60·위젯20 가중,,,,,,,,
요약,37,,,,,,,,,,,,
요약,38,"· 개인 대시보드 후보 문서와 색상표 시트를 추가했다. 활동 링, 이어 할 일, 자주 보는 프로젝트룸/자료, 확인 필요 흐름, 누적 기록은 구현 후보로 둔다.",,,,,,,,,,,
요약,39,"· 헤드라인 76%=① 가중합 실측. 목업 우선 노출 제거, 쓰기 목업 성공 제거, 최신 백엔드 #145 생성문서 export·장기기억·확정요구사항 계열 API 어댑터 반영.",,,,,,,,,,,
요약,40,"· 백엔드 최신 기준 unique path 115개, unique method+path 149개. 프론트 어댑터/호출 137개는 API 용도·화면·위젯 맵에서 화면연결/API어댑터/미연결로 분리했다.",,,,,,,,,,,
요약,41,"· 배포 실동작은 구글 OAuth 실계정, WebSocket/LiveKit, Tauri 네이티브 런타임만 수동 검증 남음. 인증 없는 smoke는 /login 리다이렉트와 401 확인.",,,,,,,,,,,
기능 연결 상세,1,단락,기능영역,화면경로,프론트 API(파일),주요 엔드포인트,백엔드,화면연결,실호출,배포 실연동,명세,상태,비고 / 다음 작업
기능 연결 상세,2,공개 사이트 (비회원),,,,,,,,,,,
기능 연결 상세,3,공개,랜딩,/,public-site,정적(영상·카피),-,O,-,O,일치,됨,비회원 랜딩. 제품규칙 통과
기능 연결 상세,4,공개,기능 소개,/features,public-site,정적,-,O,-,O,일치,됨,
기능 연결 상세,5,공개,FAQ,/faq,public-site,정적,-,O,-,O,일치,됨,
기능 연결 상세,6,공개,로그인,/login,authApi,구글 OAuth 진입,O,O,O,O,일치,됨,세션 refresh·logout 연결
기능 연결 상세,7,회원앱 — 대시보드,,,,,,,,,,,
기능 연결 상세,8,대시보드,워크스페이스 대시보드,/app,dashboardApi+projectRoomApi+todoApi+widgetApi,GET /api/dashboard/work · /api/dashboard/tasks · GET /api/project-rooms · GET /api/tasks · GET /api/widget/summary,O,O,O,부분(실계정 검증 필요),일치,됨,대시보드는 실제 API 우선. preview dashboard/resources는 NEXT_PUBLIC_BUBLI_PREVIEW_DATA=true에서 실패 fallback으로만 노출.
기능 연결 상세,9,회원앱 — 프로젝트룸,,,,,,,,,,,
기능 연결 상세,10,프로젝트룸,룸 목록,/app/project-rooms,projectRoomApi,GET/POST /api/project-rooms,O,O,O,O,일치,됨,다른 룸 화면 진입점
기능 연결 상세,11,프로젝트룸,룸 생성,/app/project-rooms/new,projectRoom+resources+agent,POST /api/project-rooms · 선택 파일 업로드 /api/resources · 에이전트 문서 검토 트리거,O,O,O,O,일치,됨,"2026-07-01 로컬 백엔드+브라우저 버튼 검증 완료: POST /api/project-rooms 200, 생성 후 룸 상세·WBS·자료·멤버 조회 200. 캡처 output/playwright/project-room-create-runtime-2026-07-01.png."
기능 연결 상세,12,프로젝트룸,룸 상세,/app/project-rooms/[roomId],projectRoom+calendar+agent+resources+wbs,GET /project-rooms/{id} · /members · /events · /resources · /wbs-board · /agent/suggestions,O,O,O,부분(실계정 검증 필요),일치,됨,룸 홈은 실제 API 우선. preview 룸/멤버/WBS/일정/자료/후보는 명시 개발 fallback으로만 제한.
기능 연결 상세,13,프로젝트룸,룸 자료보드,[roomId]/resources,resourcesApi,GET /project-rooms/{id}/resources · POST /api/resources · GET /api/resources/{id}/download-url,O,O,O,부분(업로드 실파일 검증 필요),일치,됨,룸 자료 목록/업로드 API 우선. 업로드 실패 시 preview 리소스 성공 처리 제거.
기능 연결 상세,14,프로젝트룸,룸 작업(WBS),[roomId]/work,wbsApi(+agent+projectRoom),GET /wbs-board · /wbs-items · POST /wbs-items · PATCH /wbs-items/{id} · DELETE /wbs-items/{id} · reorder,O,O,O,O,일치,됨,"실백엔드 데이터 검증 완료. 브랜드 상세페이지 룸의 WBS 10개·TODO 6개로 Jira식 줄 목록, 하위 WBS 색 라인·색 선택, 월/주/일 기간 보기, 칸반 4열 전환 확인. 기간 보기는 TODO dueAt을 Google Calendar와 같은 날짜 기준으로 표시. 캡처: output/playwright/workboard-desktop-2026-07-01.png, workboard-kanban-desktop-2026-07-01.png"
기능 연결 상세,15,프로젝트룸,룸 채팅(리다이렉트),[roomId]/chat,-,redirect,-,-,-,-,-,리다이렉트,-> /app/chat 로 이동
기능 연결 상세,16,회원앱 — 개인 자료 / 일정,,,,,,,,,,,
기능 연결 상세,17,개인자료,개인 자료보드,/app/resources,resourcesApi+Tauri managed-folder client,GET /api/resources?scope=personal · POST /api/local-file-events/sync · tauri:select/scan/watch/search,O,O,O(Tauri),부분(Tauri 런타임 필요),일치,됨,"개인 자료는 서버 목록 API와 Tauri 로컬 폴더 경계로 분리. /api/me/managed-folders, /api/local-files 등 미구현 서버 경로 제거."
기능 연결 상세,18,일정,일정,/app/calendar,calendarApi,GET/POST/PATCH/DELETE /api/schedules · GET /api/project-rooms/{roomId}/events · /api/calendar/google/* · /sync · /push-unsynced,O,O,O,부분(OAuth 실계정 필요),일치,됨,일정 목록/생성 API 우선. Google 연결 상태 조회·연결 URL·가져오기(sync)·보내기(push-unsynced)·해제 UI를 /app/calendar에 연결. OAuth/실계정 왕복과 WS 자동갱신은 후속 검증 필요.
기능 연결 상세,19,회원앱 — 소통 / 후보,,,,,,,,,,,
기능 연결 상세,20,소통,채팅,/app/chat,chatApi+friendApi+voiceApi+projectRoomApi,GET/POST /chat/* · /friend-requests · /friends · /voice/rooms · /project-rooms/{id}/agent/commands · /memory-summaries,O,O,O,부분(WS/LiveKit 필요),일치,됨,친구/요청/1:1/메시지/보이스 액션 API 우선. 실패 시 가짜 메시지·요청·보이스 성공 제거.
기능 연결 상세,21,소통,데스크탑 소통,/app/desktop/communication,chatApi+notificationApi,/chat/rooms · /api/notifications,O,O,O,O,일치,됨,알림 분리 표시 + 읽음/보관 버튼 연결
기능 연결 상세,22,후보,후보/제안,/app/agent,agentApi,/agent/suggestions · /project-rooms/{id}/agent/suggestions · confirmation-items · confirmed-requirements · contract-references · /generated-documents,O,O,O,부분(후보 생성 실데이터 필요),일치,됨,"최신 백엔드 #143-#145 API 래퍼 추가. 화면은 기존 후보함 중심, 생성문서/확정요구사항은 API어댑터 준비."
기능 연결 상세,23,후보,제안함(리다이렉트),/app/agent-suggestions,-,redirect,-,-,-,-,-,리다이렉트,-> /app/agent 로 이동
기능 연결 상세,24,알림,알림,위젯/소통 내,notificationApi,GET /api/notifications · /{id}/read · /{id}/archive,O,O,O,O,일치,됨,소통 화면 알림 목록에서 읽음/보관 처리 연결
기능 연결 상세,25,회원앱 — 설정,,,,,,,,,,,
기능 연결 상세,26,설정,프로필,/app/settings,authApi+settingsApi+widgetApi,GET/PATCH /api/me · /me/preferences · /me/notification-preferences · /privacy-consents · /api/widget/settings,O,O,O,부분(실계정 필요),일치,됨,프로필/알림/동의/위젯 설정은 실제 API 우선. preview localSettings 기본 노출 제거.
기능 연결 상세,27,설정,알림·동의,/app/settings,settingsApi+widgetApi,/me/notification-preferences · /privacy-consents · /api/widget/settings,O,O,O,부분(실계정 필요),일치,됨,"설정 저장은 API 우선, 실패 시 저장 성공처럼 보이는 목업 유지 제거."
기능 연결 상세,28,설정,로컬 폴더·캐시,/app/settings,local cache clients+managed folder client,tauri:select_managed_folder · scan_managed_folder · search_local_files · check_local_sqlite_integrity · backup_local_sqlite · POST /api/local-file-events/sync,O,O,O(Tauri),부분(앱 런타임 필요),일치,부분,"관리폴더 서버 API 발명 제거. 선택/스캔/검색/감시는 Tauri 로컬 command, 서버 반영은 approved local events sync만 사용."
기능 연결 상세,29,데스크탑 / 위젯,,,,,,,,,,,
기능 연결 상세,30,위젯,데스크탑 위젯,/app/desktop/widgets,widgetApi+tauriCommands,GET /api/widget/context · /summary · /settings · /usage-summaries/today · Tauri widget window commands,O,O,O(Tauri),부분(Tauri 창 검증 필요),일치,부분,위젯 summary/settings/usage API 래퍼 유지. 화면/창 런타임은 Tauri 검증 필요.
기능 연결 상세,31,미연결 기능 (백엔드 준비됨 · 화면만 안 붙음),,,,,,,,,,,
기능 연결 상세,32,미연결,개인 TODO,(미연결),todoApi,GET/POST /api/tasks,O,X,X,X,일치,됨,대시보드에서 todoApi.list() 연결(Codex 2차)
기능 연결 상세,33,미연결,타이머,(미연결),timerApi,POST /api/time-logs/* (start·heartbeat·stop),O,X,X,X,일치,부분,대시보드 runningTimer 표시 연결 · 시작/정지 UI는 남음
기능 연결 상세,34,소통,친구/요청/초대,/app/chat,friendApi+projectRoomApi,GET /api/friends · search · friend-requests · POST /project-rooms/{roomId}/invitations,O,O,O,부분(실계정 필요),일치,됨,검색/요청/수락/거절/초대 API 우선. preview 요청 성공 위장 제거.
기능 연결 상세,35,소통,프로젝트룸 보이스,/app/chat,voiceApi,POST/GET /api/voice/rooms · token · mic · leave · end,O,O,O,부분(LiveKit 필요),일치,부분,"보이스 생성은 API 우선. 참여자는 실제 currentUser/서버 응답만 사용, preview 참여자 기본 노출 제거."
기능 연결 상세,36,미연결,활동인식,(미연결),activityApi,GET /api/activity/today · current-app,확인필요,X,X,X,일치,안됨,프론트 api만 존재
기능 연결 상세,37,미연결,관리폴더,(미연결),managedFolderApi,/api/local-file-events · /local-files,확인필요,X,X,X,일치,안됨,패널 정적
기능 연결 상세,38,,,,,,,,,,,,
기능 연결 상세,39,범례,,,,,,,,,,,
기능 연결 상세,40,됨,"화면연결+실호출, 배포 실연동",,,,,,,,,,
기능 연결 상세,41,부분,연결됐으나 일부 미흡,,,,,,,,,,
기능 연결 상세,42,안됨,백엔드 준비·화면 미연결,,,,,,,,,,
기능 연결 상세,43,리다이렉트/정적,빈 페이지·정적,,,,,,,,,,
기능 연결 상세,44,O / X,해당 단계 연결 여부,,,,,,,,,,
다음 작업,1,다음 작업 · 2026-07-01 (대시보드 카드 후보 반영),,,,,,,,,,,
다음 작업,2,,,,,,,,,,,,
다음 작업,3,방금 완료 (Codex phase2 대시보드 2차),,,,,,,,,,,
다음 작업,4,항목,내용,,상태,,,,,,,,
다음 작업,5,개인 TODO,대시보드 todoApi.list() PageResponse 연결,,완료,,,,,,,,
다음 작업,6,위젯 summary,widgetApi.getSummary 래핑·대시보드 summary 연결,,완료,,,,,,,,
다음 작업,7,타이머,runningTimer 표시 연결(시작/정지 UI 남음),,부분완료,,,,,,,,
다음 작업,8,,,,,,,,,,,,
다음 작업,9,남은 우선순위,,,,,,,,,,,
다음 작업,10,순위,작업,유형,상태,,,,,,,,
다음 작업,11,1,widget usage sync batch 계약 불일치 정리,계약/타입,미완료,,,,,,,,
다음 작업,12,2,Google Calendar sync/push-unsynced 화면 연결 + WS 자동갱신,수동 검증,부분완료,/app/calendar에서 Google 연결 상태·connect·sync·push-unsynced·disconnect 화면 연결 완료. WS 자동갱신/실계정 OAuth 왕복은 남음.,,,,,,,
다음 작업,13,3,소통 LiveKit join/token/mic/leave/end 화면 연결,수동 검증,미완료,,,,,,,,
다음 작업,14,4,메모/생성 문서 화면 연결,수동 검증,미완료,,,,,,,,
다음 작업,15,6,친구 삭제 + 초대 수락/취소 UI 연결,dashboard UI,미완료,,,,,,,,
다음 작업,16,7,자주 보는 프로젝트룸·자료 카드 API 근거 확정,usage/recent data,준비됨,,,,,,,,
다음 작업,17,8,버블 사용 요약·집중 시간은 Tauri 런타임 검증 후 구현,Tauri/runtime,대기,,,,,,,,
다음 작업,18,,,,,,,,,,,,
다음 작업,19,문서,docs/dashboard-card-candidates-2026-07-01.md,대시보드 후보,완료,,,,,,,,
다음 작업,20,시트,대시보드 카드 후보,색상표 추가,완료,,,,,,,,
연동·인증 세팅,1,프론트-백엔드 연동·인증 세팅 (가로지르는 항목)  ·  2026-07-01,,,,,,,,,,,
연동·인증 세팅,2,순위,항목,현재 상태,무엇을 맞춰야 하나,담당,막는 대상,상태,,,,,
연동·인증 세팅,3,0,인증 토큰 attach (블로커),완료: apiRequest Bearer 주입 + access/refresh 저장 + 401 단일 refresh 재시도 + 구글 콜백/logout,apiRequest에 Bearer 헤더 주입 + 토큰 저장소(인메모리) + 401시 refresh 재발급,프론트,로그인 필요한 전 화면,됨,,,,,
연동·인증 세팅,4,1,API 주소(빌드타임),NEXT_PUBLIC_API_BASE_URL 빌드 시 고정. GitHub 변수 의존,배포 도메인 https://bubli.n-e.kr 로 고정(같은 출처→nginx /api 프록시). 변경 시 재빌드,인프라·프론트,전체 호출,확인필요,,,,,
연동·인증 세팅,5,2,응답 봉투,"백엔드 ApiResponse {success,data,error} = 프론트 기대치와 동일",맞춰져 있음. 손댈 것 없음,-,-,됨,,,,,
연동·인증 세팅,6,3,CORS,SecurityConfig allowedOriginPatterns(env) + allowCredentials(true),같은 출처 배포는 무관. 앱(app.bubli.kr)·로컬(localhost)은 출처를 env에 명시 등록(*는 불가),백엔드,앱·로컬 연동,부분,,,,,
연동·인증 세팅,7,4,WebSocket 토큰,완료: STOMP CONNECT 프레임에 Authorization: Bearer 부착(토큰 없으면 대기),0번에서 만든 accessToken을 WS 클라이언트에 전달,프론트,실시간 채팅,됨,,,,,
연동·인증 세팅,8,5,구글 OAuth redirect,프론트 콜백·토큰저장 완료. redirectUri 등록 + 실 로그인 왕복은 수동 검증 남음,구글 콘솔에 배포 redirectUri 등록 + 프론트가 같은 redirectUri 전송 + 응답 accessToken 저장,프론트·백,구글 로그인,부분,,,,,
연동·인증 세팅,9,6,타우리 토큰 저장,localStorage 저장(boundary allowlist 등록). Tauri 보안저장은 하드닝 follow-up,"토큰은 인메모리 + refresh, 영속 필요시 Tauri SQLite/보안저장 사용",프론트,앱 로그인 유지,부분,,,,,
연동·인증 세팅,10,7,빌드 재배포,NEXT_PUBLIC_*는 런타임 env 아님(빌드 시 번들에 굳음),주소·플래그 바꾸면 프론트 이미지 재빌드+재배포,인프라,배포 반영,참고,,,,,
연동·인증 세팅,11,,,,,,,,,,,,
연동·인증 세팅,12,범례,,,,,,,,,,,
연동·인증 세팅,13,됨,맞춰짐,,,,,,,,,,
연동·인증 세팅,14,부분,일부만,,,,,,,,,,
연동·인증 세팅,15,안됨,미연결(작업 필요),,,,,,,,,,
연동·인증 세팅,16,확인필요/참고,점검·메모,,,,,,,,,,
타우리 앱·로컬,1,타우리 데스크탑 앱 · 로컬 기능 (프론트 담당)  ·  2026-07-01,,,,,,,,,,,
타우리 앱·로컬,2,정정(2026-07-01): src/lib/local·sync·widget 어댑터가 14개 command 전부 완비(브라우저=데스크탑앱 안내 분기). 예전 'JS 미배선'은 오판. 실제 gap은 마운트 UI 노출. 설정 화면에 폴더 스캔·로컬검색·활동읽기·대기열상태·타이머복구 연결함.,,,,,,,,,,,
타우리 앱·로컬,3,기능,Rust (src-tauri),JS 브리지,화면 연결,플랫폼,진행%,상태,비고,,,,
타우리 앱·로컬,4,위젯 창 런타임,O · lib.rs 26개 invoke_handler + close destroy + exit cleanup,"활성(26개 command, local 14개 active 승격)",O · 위젯 화면,mac/win,70%,부분,후속(2026-07-01): close_widget_window는 WebViewWindow.destroy()로 해제. 최소화/토글 숨김은 WebView 유지. 앱 종료 시 bubli-widget-* 정리. 실제 tauri:dev 창 검증은 남음.,,,,
타우리 앱·로컬,5,SQLite 로컬 DB,O · local_db.rs 394줄,어댑터 완비,O · 설정(무결성·백업·복구·타이머),mac/win,76%,됨,Rust invoke 등록 확인 · 어댑터+설정 소비 확인 · restore 재시작 제약(코드). 실제 앱 런타임 검증 필요,,,,
타우리 앱·로컬,6,앱 감지(활동 인식),"부분 · macOS osascript, Win 미구현",어댑터 완비,"O · 설정(활동 읽기, 동의 게이트)",mac만,58%,부분,"Rust invoke 등록 + 설정 활동 읽기 소비. macOS osascript 구현, Windows 미구현. 앱 검증 필요",,,,
타우리 앱·로컬,7,로컬 폴더 추적(관리폴더),O · local_files.rs 371줄,어댑터 완비,O · 설정(선택·스캔·검색·감시),mac/win,74%,됨,Rust invoke 등록 + 설정 화면 선택·스캔·검색·감시 소비 확인. 네이티브 picker/watch는 앱 검증 필요,,,,
타우리 앱·로컬,8,동기화 아웃박스,O · flush_sync_outbox,어댑터 완비,O · 설정(대기열 상태),mac/win,58%,부분,"상태 확인만, 실제 서버 전송은 인증 API 몫",,,,
타우리 앱·로컬,9,위젯 사용량 집계,O · widget_usage.rs 234줄,어댑터 완비,O · 위젯 화면+설정(사용량·동기화 상태),mac/win,62%,됨,상호작용 시 record + 집계/동기화 버튼 연결. 설정 화면에서 오늘 사용량과 대기열 상태 확인 가능(2026-07-01).,,,,
타우리 앱·로컬,10,다국어/번역(일·영·한),해당없음(웹 레이어),i18n 워크트리,설정 UI 정적,-,50%,부분,"메시지 완성(워크트리), main 미병합·런타임 없음",,,,
타우리 앱·로컬,11,앱·로컬 평균,,,,,~69%,부분,로컬 command 14개 active 승격 + 위젯 close/exit cleanup 적용. 남은 건 Windows 앱감지·native watch 런타임·실제 Tauri 창 검증.,,,,
타우리 앱·로컬,12,※ 메모리/런타임 블로커,"단기 수정 적용: close_widget_window hide→destroy, 앱 종료 시 bubli-widget-* destroy cleanup. 현재 QA 자동 시작 경로는 전체 8개 버블 창을 동시에 열지 않음. 상세: docs/troubleshooting/위젯_메모리_런타임_분석_2026-07-01.md",,,,,,,,,,
타우리 앱·로컬,13,범례,,,,,,,,,,,
타우리 앱·로컬,14,됨,JS 활성+화면 연결,,,,,,,,,,
타우리 앱·로컬,15,부분,Rust 됨·JS 미배선/병합 전,,,,,,,,,,
타우리 앱·로컬,16,X / 정적,화면 미연결,,,,,,,,,,
페이지별 백엔드 맵핑,1,페이지별 백엔드 맵핑 + 디자인 상태 (비회원·회원·위젯)  ·  2026-07-01,,,,,,,,,,,
페이지별 백엔드 맵핑,2,구분,페이지,라우트,백엔드 기능(엔드포인트),프론트 맵핑,맵핑 상태,디자인 상태,미맵핑 기능 / 디자인 메모,,,,
페이지별 백엔드 맵핑,3,비회원,랜딩,/,정적 소개,-,정적,부분,디자인 완료 · 모바일/사이즈별 미확인,,,,
페이지별 백엔드 맵핑,4,비회원,기능 소개,/features,정적,-,정적,부분,디자인 완료 · 반응형 미확인,,,,
페이지별 백엔드 맵핑,5,비회원,FAQ,/faq,정적,-,정적,부분,디자인 완료 · 반응형 미확인,,,,
페이지별 백엔드 맵핑,6,비회원,로그인,/login,구글 OAuth 시작 URL,getGoogleAuthorizationUrl,됨,부분,디자인 완료 · 반응형 미확인,,,,
페이지별 백엔드 맵핑,7,비회원,OAuth 콜백,/auth/callback,코드→토큰 교환,callbackGoogle,됨,부분,디자인 완료 · 반응형 미확인,,,,
페이지별 백엔드 맵핑,8,회원,대시보드,/app,대시보드 업무·작업·위젯 summary,getWork + projectRoom.list + todo.list + widget.summary,됨,확인예정,"실제 API 우선. preview 우선 노출 제거, recent resources는 실제 데이터 없으면 empty.",,,,
페이지별 백엔드 맵핑,9,회원,룸 목록,/app/project-rooms,룸 목록,projectRoom.list,됨,확인예정,디자인 상태 미확인,,,,
페이지별 백엔드 맵핑,10,회원,룸 생성,/app/project-rooms/new,룸 생성·업로드·계약서분석,create+upload+reviewContractDocuments,됨,확인예정,디자인 상태 미확인,,,,
페이지별 백엔드 맵핑,11,회원,룸 상세,[roomId],룸 상세·멤버·일정·제안·자료·WBS,get·getMembers+calendar+agent+resources+wbs,됨,확인예정,결제·초대·AI문서 미맵핑 / 디자인 미확인,,,,
페이지별 백엔드 맵핑,12,회원,룸 자료보드,[roomId]/resources,룸 자료 목록·업로드·다운로드,listRoomResources·upload·getDownloadUrl,됨,작업중,목록/업로드 API 우선. 업로드 실패 시 목업 파일 성공 처리 제거. 댓글·버전·요약은 API어댑터 준비.,,,,
페이지별 백엔드 맵핑,13,회원,룸 작업(WBS),[roomId]/work,WBS 보드·항목·제안,wbs.getBoard+projectRoom.get+agent,됨,검증완료,"WBS/칸반/후보를 탭 전환으로 분리. WBS는 Jira식 줄 목록+우측 상세, 하위 WBS 색 라인/색상 선택, 월·주·일 기간 보기로 정리. 칸반은 가로 4열 드래그 보드 유지. 2026-07-01 실제 로컬 백엔드 데이터(WBS 10·TODO 6)와 Playwright 캡처로 확인. 칸반 카드 제목·상태칩·보조문구 폰트 밀도 조정.",,,,
페이지별 백엔드 맵핑,14,회원,룸 채팅(리다이렉트),[roomId]/chat,-,redirect -> /app/chat,리다이렉트,해당없음,-,,,,
페이지별 백엔드 맵핑,15,회원,개인 자료보드,/app/resources,개인 자료 목록·다운로드·로컬 폴더 sync,listPersonal·getDownloadUrl·Tauri managed-folder · local-file-events/sync,됨,작업중,개인 자료는 서버 목록 API와 Tauri 로컬 폴더 경계로 분리. 미구현 서버 관리폴더 API 제거.,,,,
페이지별 백엔드 맵핑,16,회원,일정,/app/calendar,일정 조회·생성·룸이벤트·구글캘린더,getEvents·createEvent·getProjectRoomEvents·calendar/google wrappers,됨,부분,Google connect/connection/sync/push-unsynced/disconnect를 실제 API 액션으로 연결. 일정 생성 실패 시 preview 성공 처리 없음. 실계정 OAuth 왕복·WS 자동갱신은 후속.,,,,
페이지별 백엔드 맵핑,17,회원,소통(채팅),/app/chat,채팅·친구·초대·보이스·프로필·룸 에이전트,chat+friend+voice+invite+getMe+agent/commands+memory-summaries,됨,확인예정,메시지/친구요청/보이스/초대 목업 성공 제거. WS/LiveKit 실세션 후속.,,,,
페이지별 백엔드 맵핑,18,회원,소통(데스크탑),/app/desktop/communication,채팅 목록·알림,listRooms+notification.list,됨,확인예정,알림 읽음/보관 연결 완료 / 디자인 미확인,,,,
페이지별 백엔드 맵핑,19,회원,후보/제안,/app/agent,개인·룸 제안·확정요구사항·계약참조·생성문서,listPersonal·listRoom·confirmationItems·confirmedRequirements·contractReferences·generatedDocuments,됨,확인예정,최신 백엔드 #143-#145 래퍼 추가. 생성문서 화면 소비는 후속.,,,,
페이지별 백엔드 맵핑,20,회원,제안함(리다이렉트),/app/agent-suggestions,-,redirect -> /app/agent,리다이렉트,해당없음,-,,,,
페이지별 백엔드 맵핑,21,회원,설정,/app/settings,프로필·알림·동의·저장소·위젯버블·Tauri 로컬,getMe·updateMe+settings4+widget2+Tauri local clients,됨,개선 반영,"관리폴더 서버 API 제거. 실제 API/Tauri command/empty state 중심, preview 설정 기본 노출 제거.",,,,
페이지별 백엔드 맵핑,22,위젯,데스크탑 위젯,/app/desktop/widgets,위젯 창 런타임 + 사용량 + 서버 summary/settings,tauriCommands + widgetApi summary/settings/usage,부분,안됨,서버 위젯 API어댑터 준비. 실제 창/버블 디자인과 Tauri 런타임 검증 필요.,,,,
페이지별 백엔드 맵핑,23,위젯,독립 위젯 창,/desktop-widget,위젯 창 런타임(Tauri),tauriCommands 창 제어,됨,안됨,디자인 전면 재작업 필요,,,,
페이지별 백엔드 맵핑,24,공통,활동 감지 서버반영,(화면 미연결),활동(/api/activity),activityApi adapter,부분,해당없음,"API어댑터는 준비. 화면은 설정의 Tauri 활동 읽기 중심, 서버 반영 UI는 후속.",,,,
페이지별 백엔드 맵핑,25,공통,타이머 서버반영,(화면 미연결),작업시간(/api/time-logs),timerApi adapter,부분,해당없음,"time-logs 전체 어댑터 준비. 대시보드 runningTimer 표시는 연결, 시작/정지 UI는 후속.",,,,
페이지별 백엔드 맵핑,26,,,,,,,,,,,,
페이지별 백엔드 맵핑,27,범례,,,,,,,,,,,
페이지별 백엔드 맵핑,28,됨,맵핑/디자인 완료,,,,,,,,,,
페이지별 백엔드 맵핑,29,부분·작업중,일부만·재작업 중,,,,,,,,,,
페이지별 백엔드 맵핑,30,안됨,미맵핑·전면 재작업,,,,,,,,,,
페이지별 백엔드 맵핑,31,확인예정/해당없음,미언급·정적·리다이렉트,,,,,,,,,,
API 명세 맵핑,1,API 명세 vs 백엔드 구현 vs 프론트 연결 · 2026-07-01 (최신 백엔드 #145·목업 제거 반영),,,,,,,,,,,
API 명세 맵핑,2,백엔드 구현,115경로/149 unique method+path,프론트 어댑터/호출,137개 (92%),스펙외 추가구현,API 용도·화면·위젯 맵에서 분류,,,,,,
API 명세 맵핑,3,명세 총,92,명세 구현,89/92 (97%),명세만·미구현,3경로,,,,,,
API 명세 맵핑,4,,,,,,,,,,,,
API 명세 맵핑,5,도메인,메서드,경로,명세 여부,프론트,상태,,,,,,
API 명세 맵핑,6,◆ activity,,,,,,,,,,,
API 명세 맵핑,7,,POST,/api/activity/current-app,명세,O,API어댑터,,,,,,
API 명세 맵핑,8,,GET,/api/activity/today,명세,O,API어댑터,,,,,,
